naive;0;562720081
naive;1;1004022707
naive;2;1387235166
naive;3;2189326817
naive;4;2519043860
naive;5;3115713340
naive;6;3755588728
naive;7;4167524629
naive;8;4955122340
naive;9;5479208318
naive;10;6186732857
naive;11;9227151308
naive;12;7730825507
naive;13;9864852937
naive;14;15687241053
naive;15;22580310593
naive;16;12014221352
naive;17;13227965750
straightforward;0;3403782419
straightforward;1;3217250003
straightforward;2;27789757282
straightforward;3;11771336329
straightforward;4;15499771032
straightforward;5;9936106101
straightforward;6;7752093386
straightforward;7;6725260853
straightforward;8;34121007216
straightforward;9;6821255503
straightforward;10;12665939665
straightforward;11;14989405001
straightforward;12;17588452906
straightforward;13;13755670534
straightforward;14;21847199938
straightforward;15;61912784908
straightforward;16;105305458547
straightforward;17;28723844785
earlyProjection;0;3421009480
earlyProjection;1;3222683042
earlyProjection;2;28022785376
earlyProjection;3;12009501327
earlyProjection;4;15513122095
earlyProjection;5;10010988938
earlyProjection;6;7818147158
earlyProjection;7;6790643872
earlyProjection;8;34499857065
earlyProjection;9;6930093172
earlyProjection;10;12617564853
earlyProjection;11;15153260714
earlyProjection;12;17770310880
earlyProjection;13;13856607988
earlyProjection;14;21862745590
earlyProjection;15;60387289805
earlyProjection;16;105175253382
earlyProjection;17;28829593730
reordering;0;2793216098
reordering;1;3465034059
reordering;2;11915650249
reordering;3;10957121920
reordering;4;15709249417
reordering;5;15629745570
reordering;6;13354635727
reordering;7;19034958546
reordering;8;26924453052
reordering;9;12573780260
reordering;10;11555185733
reordering;11;13320937787
reordering;12;18369526624
reordering;13;23695041046
reordering;14;31194640315
reordering;15;66370806247
reordering;16;121951424746
reordering;17;37355926821
