naive;0;178721554
naive;1;195980010
naive;2;234058977
naive;3;302290431
naive;4;343074445
naive;5;391356584
naive;6;404825980
naive;7;512667179
naive;8;1108897740
naive;9;1108672848
naive;10;807989567
naive;11;2437034801
naive;12;1370463323
naive;13;40681412868
naive;14;6019641410
naive;15;6647661798
naive;16;52513074702
naive;17;12950121276
straightforward;0;85218832
straightforward;1;386043388
straightforward;2;298980437
straightforward;3;362375951
straightforward;4;446014499
straightforward;5;497622933
straightforward;6;198196936
straightforward;7;558899627
straightforward;8;242623906
straightforward;9;2061883150
straightforward;10;2427176966
straightforward;11;9176543267
straightforward;12;11108530366
straightforward;13;5494571338
straightforward;14;349521632991
straightforward;15;7857708904
straightforward;16;191471132417
straightforward;17;223449291287
earlyProjection;0;128442854
earlyProjection;1;452009315
earlyProjection;2;315843445
earlyProjection;3;383749484
earlyProjection;4;479796661
earlyProjection;5;532171238
earlyProjection;6;228630768
earlyProjection;7;608172802
earlyProjection;8;277645542
earlyProjection;9;2209025280
earlyProjection;10;2640848916
earlyProjection;11;9675247797
earlyProjection;12;11572326761
earlyProjection;13;5866535857
earlyProjection;14;354408113938
earlyProjection;15;8063339667
earlyProjection;16;186906147714
earlyProjection;17;219788435398
reordering;0;117506743
reordering;1;114305120
reordering;2;417677752
reordering;3;162442966
reordering;4;189105547
reordering;5;679550940
reordering;6;160023485
reordering;7;633605871
reordering;8;264173732
reordering;9;917095899
reordering;10;2174690697
reordering;11;8262083591
reordering;12;24332812408
reordering;13;5035243209
reordering;14;71972043608
reordering;15;7878178341
reordering;16;252441487369
reordering;17;496629871751
